1	467	2
1	1	3
1	1234	2
1	1424	3
1	1473	2
1	2685	2
1	1098	2
1	175	2
1	2005	2
1	2113	2
1	30	2
1	1585	3
1	3172	2
1	618	2
1	2224	2
1	2648	2
1	445	4
1	1594	16
1	682	2
1	1898	2
1	1857	2
1	99	2
1	636	2
1	2298	2
2	3139	3
2	2246	2
3	3132	6
4	58	5
5	2765	2
5	137	10
5	27	4
5	1853	3
5	1577	5
6	1662	4
6	58	5
6	3061	4
6	1314	2
6	1286	2
6	2697	5
1806	1056	14
1806	1806	3
7	1057	3
7	564	8
7	2595	4
7	1995	6
8	3157	15
8	8	10
8	263	3
8	724	2
8	2373	2
8	1087	2
8	1386	5
8	428	3
8	3282	3
8	486	8
8	286	3
8	2760	2
8	2745	3
8	1737	2
8	1007	2
8	3256	2
8	2925	2
8	567	5
8	1546	2
8	2780	3
8	3261	7
8	744	2
9	1544	9
9	2760	4
9	571	5
9	170	4
9	1443	9
9	2810	8
9	689	3
9	1816	5
9	9	2
9	819	8
9	474	2
9	2447	9
9	1341	9
9	340	6
9	2913	16
9	2154	5
9	1163	7
2750	781	3
11	1238	5
11	635	2
11	733	4
11	71	4
11	1616	10
11	2597	13
11	2048	4
11	296	3
11	932	4
11	2216	4
2864	2601	3
12	2757	2
12	1550	29
12	2467	19
12	564	7
12	2595	4
12	58	5
12	895	7
12	12	11
12	1995	4
12	1203	14
13	1613	4
13	385	2
13	3036	5
13	2677	4
13	862	5
13	1217	2
13	3262	2
13	13	1
13	2999	2
14	2046	7
15	1170	3
16	196	3
16	1254	14
16	985	5
2300	1003	2
17	3061	4
17	538	3
17	2697	5
18	1604	4
19	3092	13
19	1068	5
19	2233	5
19	3309	4
19	1034	2
19	2566	3
19	114	4
19	2503	3
20	477	6
20	2391	7
21	2676	5
21	826	4
21	909	7
21	1676	13
21	1460	2
21	1606	2
21	421	9
23	3321	4
23	2091	9
23	593	8
23	1324	10
23	2477	5
23	480	14
23	2907	41
23	23	3
23	1359	16
23	3253	8
23	2597	18
23	296	14
23	533	39
23	1692	7
23	2452	2
23	2231	7
23	2780	6
23	2185	9
23	2497	9
23	579	4
23	1755	10
23	1785	35
23	635	26
24	1544	3
24	2368	2
24	909	4
24	2981	2
24	2018	8
24	24	1
24	3180	2
24	115	7
24	977	2
24	1513	5
25	638	3
25	165	4
26	2718	3
26	3082	24
26	1748	4
26	2992	4
26	665	3
26	1662	5
26	446	5
26	3266	9
26	3061	4
26	1508	7
26	384	2
26	3085	3
26	1362	5
26	26	1
26	538	3
26	1691	6
26	1759	2
26	2697	5
27	662	4
27	1976	2
27	1943	2
